time,voltage,current,power,energy,frequency,pf,lvl1,lvl2
2025-09-03T21:03:44.185Z,213.33333333333334,17.666666666666668,3100,98.33333333333333,49.666666666666664,92.33333333333333,1.6666666666666667,1.6666666666666667
2025-09-03T21:05:46.534Z,200,18,2800,95,49,90,0,2
2025-09-04T01:26:25.595Z,145,30,4350,13,60,0.9,2,1
2025-09-04T01:27:25.595Z,145,30,4350,13,60,0.9,2,1
2025-09-04T01:28:25.596Z,145,30,4350,13,60,0.9,2,1
2025-09-04T02:35:21.538Z,145,30,4350,13,60,0.9,2,1
2025-09-04T02:56:13.488Z,145,30,4350,13,60,0.9,2,1
2025-09-04T03:30:43.455Z,0,0,0,0,0,0,0,0
2025-09-04T03:31:43.455Z,0,0,0,0,0,0,0,0
2025-09-04T03:32:43.455Z,0,0,0,0,0,0,0,0
2025-09-04T03:33:43.457Z,0,0,0,0,0,0,0,0
2025-09-04T03:34:43.457Z,0,0,0,0,0,0,0,0
2025-09-04T03:35:43.459Z,0,0,0,0,0,0,0,0
2025-09-04T04:49:34.431Z,0,0,0,0,0,0,0,0
2025-09-04T04:50:34.431Z,0,0,0,0,0,0,0,0
2025-09-04T04:52:44.930Z,0,0,0,0,0,0,0,0
2025-09-04T04:53:44.931Z,0,0,0,0,0,0,0,0
2025-09-04T06:09:19.747Z,0,0,0,0,0,0,0,0
2025-09-04T06:10:19.744Z,0,0,0,0,0,0,0,0
2025-09-04T06:11:19.745Z,0,0,0,0,0,0,0,0
2025-09-04T06:12:19.747Z,0,0,0,0,0,0,0,0
2025-09-04T06:13:19.749Z,0,0,0,0,0,0,0,0
2025-09-04T06:14:19.749Z,0,0,0,0,0,0,0,0
2025-09-04T06:15:19.750Z,0,0,0,0,0,0,0,0
2025-09-04T06:16:19.752Z,0,0,0,0,0,0,0,0
2025-09-04T06:17:19.753Z,0,0,0,0,0,0,0,0
2025-09-04T06:18:19.755Z,0,0,0,0,0,0,0,0
2025-09-04T06:19:19.757Z,0,0,0,0,0,0,0,0
2025-09-04T06:20:19.759Z,0,0,0,0,0,0,0,0
2025-09-04T06:21:19.760Z,0,0,0,0,0,0,0,0
2025-09-04T06:48:30.709Z,0,0,0,0,0,0,0,0
2025-09-04T06:49:30.709Z,0,0,0,0,0,0,0,0
2025-09-04T06:50:30.709Z,0,0,0,0,0,0,0,0
2025-09-04T06:51:30.709Z,0,0,0,0,0,0,0,0
2025-09-04T06:52:30.709Z,0,0,0,0,0,0,0,0
2025-09-04T06:53:30.740Z,0,0,0,0,0,0,0,0
2025-09-04T06:54:30.741Z,0,0,0,0,0,0,0,0
2025-09-04T06:55:30.742Z,0,0,0,0,0,0,0,0
2025-09-04T06:56:30.743Z,0,0,0,0,0,0,0,0
2025-09-04T06:57:30.760Z,0,0,0,0,0,0,0,0
2025-09-04T06:58:30.744Z,0,0,0,0,0,0,0,0
2025-09-04T06:59:30.744Z,0,0,0,0,0,0,0,0
2025-09-04T07:00:30.745Z,0,0,0,0,0,0,0,0
2025-09-04T07:01:30.746Z,0,0,0,0,0,0,0,0
2025-09-04T07:02:30.747Z,0,0,0,0,0,0,0,0
2025-09-04T07:03:30.748Z,0,0,0,0,0,0,0,0
2025-09-04T07:04:30.750Z,0,0,0,0,0,0,0,0
2025-09-04T07:05:30.750Z,0,0,0,0,0,0,0,0
2025-09-04T07:06:30.750Z,0,0,0,0,0,0,0,0
2025-09-04T07:07:30.751Z,0,0,0,0,0,0,0,0
2025-09-04T07:08:30.752Z,0,0,0,0,0,0,0,0
2025-09-04T07:09:30.753Z,19.484848484848484,1.6363636363636365,350.90909090909093,11.06060606060606,4.545454545454546,8.363636363636363,0.09090909090909091,0.09090909090909091
2025-09-04T07:10:30.753Z,60.95238095238095,5.095238095238095,1087.857142857143,36.54761904761905,14.285714285714286,26.11904761904762,0.16666666666666666,0.11904761904761904
2025-09-04T07:11:30.754Z,0,0,0,0,0,0,0,0
2025-09-04T07:12:30.755Z,0,0,0,0,0,0,0,0
2025-09-04T07:36:58.254Z,0,0,0,0,0,0,0,0
2025-09-04T07:37:58.255Z,0,0,0,0,0,0,0,0
2025-09-04T07:38:58.255Z,0,0,0,0,0,0,0,0
2025-09-04T07:39:58.258Z,0,0,0,0,0,0,0,0
2025-09-04T07:40:58.260Z,0,0,0,0,0,0,0,0
2025-09-04T07:41:58.261Z,0,0,0,0,0,0,0,0
2025-09-04T07:42:58.262Z,0,0,0,0,0,0,0,0
2025-09-04T07:43:58.265Z,0,0,0,0,0,0,0,0
2025-09-04T07:48:58.274Z,0,0,0,0,0,0,0,0
2025-09-04T07:49:58.275Z,0,0,0,0,0,0,0,0
2025-09-04T07:50:58.278Z,0,0,0,0,0,0,0,0
2025-09-04T07:51:58.278Z,0,0,0,0,0,0,0.16666666666666666,0
2025-09-04T07:52:58.279Z,0,0,0,0,0,0,0.2,0
2025-09-04T07:53:58.280Z,0,0,0,0,0,0,0,0
2025-09-04T07:54:58.282Z,0,0,0,0,0,0,0.23333333333333334,0
2025-09-04T07:55:58.282Z,0,0,0,0,0,0,0.26666666666666666,0
2025-09-04T07:56:58.286Z,0,0,0,0,0,0,0,0
2025-09-04T07:57:58.284Z,0,0,0,0,0,0,0,0
2025-09-04T07:58:58.286Z,0,0,0,0,0,0,0,0
2025-09-04T07:59:58.287Z,0,0,0,0,0,0,0,0
2025-09-04T08:00:58.289Z,0,0,0,0,0,0,0,0
2025-09-04T08:01:58.290Z,0,0,0,0,0,0,0,0
2025-09-04T08:02:58.291Z,0,0,0,0,0,0,0,0
2025-09-04T08:03:58.291Z,0,0,0,0,0,0,0,0
2025-09-04T08:04:58.292Z,0,0,0,0,0,0,0,0
2025-09-04T08:05:58.292Z,0,0,0,0,0,0,0,0
2025-09-04T08:06:58.329Z,0,0,0,0,0,0,0,0
2025-09-04T08:07:58.330Z,0,0,0,0,0,0,0,0
2025-09-04T08:08:58.330Z,0,0,0,0,0,0,0,0
2025-09-04T08:09:58.331Z,0,0,0,0,0,0,0,0
2025-09-04T08:12:03.843Z,0,0,0,0,0,0,0,0
2025-09-04T08:13:03.843Z,0,0,0,0,0,0,0,0
2025-09-04T08:14:03.843Z,0,0,0,0,0,0,0.1111111111111111,0
2025-09-04T08:15:03.844Z,0,0,0,0,0,0,0.06451612903225806,0
2025-09-04T08:16:03.845Z,0,0,0,0,0,0,0.27586206896551724,0
2025-09-04T08:17:03.847Z,0,0,0,0,0,0,0.16666666666666666,0
2025-09-04T08:18:03.849Z,0,0,0,0,0,0,0.27586206896551724,0
2025-09-04T08:19:03.850Z,0,0,0,0,0,0,0.43333333333333335,0
2025-09-04T08:20:03.852Z,0,0,0,0,0,0,0.8333333333333334,0
2025-09-04T08:21:03.852Z,0,0,0,0,0,0,0.5,0
2025-09-04T08:22:03.868Z,0,0,0,0,0,0,0,0
2025-09-04T08:23:03.869Z,0,0,0,0,0,0,0,0
2025-09-04T08:24:03.870Z,0,0,0,0,0,0,0,0
2025-09-04T08:25:03.871Z,0,0,0,0,0,0,0,0
2025-09-04T08:26:03.873Z,0,0,0,0,0,0,0,0
2025-09-04T08:27:03.873Z,0,0,0,0,0,0,0,0
2025-09-04T08:28:03.874Z,0,0,0,0,0,0,0,0
2025-09-04T08:29:03.874Z,0,0,0,0,0,0,0,0
2025-09-04T08:30:03.874Z,0,0,0,0,0,0,0,0
2025-09-04T08:31:03.875Z,0,0,0,0,0,0,0.06666666666666667,0
2025-09-04T08:32:03.876Z,0,0,0,0,0,0,0.4666666666666667,0
2025-09-04T08:33:03.877Z,0,0,0,0,0,0,0,0
2025-09-04T08:34:03.877Z,0,0,0,0,0,0,0,0
2025-09-04T08:35:03.877Z,0,0,0,0,0,0,0,0
2025-09-04T08:36:03.877Z,0,0,0,0,0,0,0,0
2025-09-04T08:37:03.878Z,0,0,0,0,0,0,0,0
2025-09-04T08:44:54.829Z,0,0,0,0,0,0,0,0
2025-09-04T08:45:54.829Z,0,0,0,0,0,0,0.26666666666666666,0
2025-09-04T08:46:54.830Z,0,0,0,0,0,0,0.4,0
2025-09-04T08:57:17.972Z,0,0,0,0,0,0,0.3333333333333333,0
2025-09-04T08:58:17.974Z,0,0,0,0,0,0,0.2,0
2025-09-04T08:59:17.975Z,0,0,0,0,0,0,0,0
2025-09-04T09:00:17.975Z,0,0,0,0,0,0,0,0
2025-09-04T09:01:17.975Z,0,0,0,0,0,0,0,0
2025-09-04T09:02:17.975Z,0,0,0,0,0,0,0,0
2025-09-04T09:03:17.976Z,0,0,0,0,0,0,0,0
2025-09-04T09:04:17.976Z,0,0,0,0,0,0,0,0
2025-09-04T09:05:17.976Z,0,0,0,0,0,0,0,0
2025-09-04T09:24:11.335Z,0,0,0,0,0,0,0,0
2025-09-04T10:07:26.631Z,0,0,0,0,0,0,0,0
2025-09-04T10:51:27.000Z,215,18,3870,110,50,93,2,2
2025-09-04T10:52:27.000Z,215,18,3870,110,50,93,2,2
2025-09-04T10:54:27.000Z,215,18,3870,110,50,93,2,2
2025-09-04T10:58:27.003Z,215,18,3870,110,50,93,2,2
2025-09-04T11:01:27.138Z,215,18,3870,110,50,93,2,2
2025-09-04T11:02:27.130Z,215,18,3870,110,50,93,2,2
2025-09-04T11:03:27.130Z,215,18,3870,110,50,93,2,2
2025-09-04T11:04:27.130Z,215,18,3870,110,50,93,2,2
2025-09-04T11:06:27.131Z,215,18,3870,110,50,93,2,2
2025-09-04T11:07:27.132Z,215,18,3870,110,50,93,2,2
2025-09-04T11:08:27.137Z,215,18,3870,110,50,93,2,2
2025-09-04T11:10:22.468Z,143.33333333333334,12,2580,73.33333333333333,33.333333333333336,62,1.3333333333333333,1.3333333333333333
2025-09-04T11:12:22.468Z,215,18,3870,110,50,93,2,2
2025-09-04T11:14:22.469Z,215,18,3870,110,50,93,2,2
2025-09-04T11:19:22.472Z,215,18,3870,110,50,93,2,2
2025-09-04T11:37:22.488Z,215,18,3870,110,50,93,2,2
2025-09-04T11:39:22.491Z,215,18,3870,110,50,93,2,2
2025-09-04T11:40:22.491Z,214.33333333333334,18,3860,121.66666666666667,50,92,1,1
2025-09-04T11:41:22.492Z,218,19,4140,125,50,92,0,1
2025-09-04T11:42:22.492Z,214.33333333333334,18,3860,121.66666666666667,50,92,1,1
2025-09-04T11:43:22.494Z,215.8,18.4,3972,123,50,92,0.6,1
